game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
GbXP2AAo,2,1,0,0,0,0,0,1,0,0
fAzuR3bC,0,4,0,1,0,9,6,0,1,0
HT4pDyLy,0,1,1,2,3,0,0,0,0,0
1wcRbbYS,0,0,1,1,0,2,0,1,5,0
xHq9m28w,0,1,0,0,0,0,1,0,1,0
Mk09maAp,2,0,0,0,0,0,0,0,0,0
tQWzf4Vl,15,0,0,1,0,1,1,0,1,0
rU9LSjEV,1,0,3,0,0,1,0,1,0,0
yLTEs3PR,0,0,0,0,0,1,1,2,0,0
wM43xNTp,0,0,0,0,1,0,0,0,0,0
1wtOeiSt,1,0,0,0,0,1,0,0,0,0
eMuN4jPj,0,2,1,2,1,2,0,0,1,0
lxTIzMYc,0,0,1,0,0,0,0,0,0,0
D2XdeRLb,0,0,0,0,0,0,0,1,0,0
8O5th1Jj,1,0,0,1,0,0,0,0,0,0
H9t5R70E,0,0,0,0,0,1,0,0,0,0
JZtwlDBJ,1,0,2,0,0,0,0,1,0,0
mOW0d50m,0,8,0,1,2,1,3,2,3,0
1B27xzQK,1,0,0,1,0,1,0,0,0,0
NBkUo7yz,0,0,1,1,0,0,1,0,0,0
15mSxIVp,0,0,0,0,0,1,0,1,0,0
lJCScHov,0,0,0,1,0,2,3,0,1,0
DFb8xrPU,1,0,1,0,0,2,0,0,0,0
v58vG2nS,1,1,0,0,0,0,1,1,0,0
SofmedXo,1,2,0,0,0,0,1,0,0,0
nBALUHIE,0,0,0,0,0,1,0,2,0,0
td5ZDYec,1,2,1,0,0,0,0,0,0,0
xFllA0Ga,6,0,0,1,0,6,0,0,0,0
xLcsxZi5,1,0,0,0,0,1,0,0,0,0
dZATYWep,2,0,4,1,0,2,0,0,0,0
xss0cZdm,0,0,0,0,0,0,0,1,0,0
GscPFlWd,1,0,0,0,1,0,0,1,0,0
yzBbrcHx,0,0,0,0,0,0,0,0,0,0
E9Y8suaM,1,1,0,1,0,0,2,0,7,0
S9XtIatQ,1,0,0,0,0,1,0,0,0,0
oU42kJtZ,0,0,0,0,0,3,0,0,0,0
7K5GjXog,0,0,0,0,0,1,0,0,1,0
3XdbrhFF,1,1,0,1,0,7,3,1,1,0
4fmj8VnA,3,2,1,0,0,0,0,0,0,0
wD91lbJt,0,0,1,0,0,0,0,0,0,0
uep35VyG,2,1,0,0,0,0,3,2,0,0
DSwHPute,0,1,0,0,0,4,1,0,0,0
XWUhMgbz,1,0,0,0,0,0,0,0,1,0
VKWyuFBa,4,0,1,1,0,4,0,0,1,0
KH5J05Qt,0,0,0,1,0,2,0,0,0,0
Ut6wVGoK,0,0,0,0,0,0,0,0,0,0
KMH1a9EQ,0,0,0,1,0,1,0,0,0,0
7cqUNzKU,0,3,1,0,0,0,0,0,0,1
B8eJ2NP2,0,1,0,2,0,1,1,0,0,0
H9O08vFD,0,0,2,0,0,0,0,0,0,0
ugNLSu61,1,0,0,0,0,0,1,0,0,0
ceSBkG8w,5,1,0,0,0,6,0,0,0,0
SfqlFNTv,10,2,1,0,0,1,0,0,0,0
em3wA2RI,0,2,0,1,0,0,0,0,0,0
83SVGDlT,0,4,1,1,0,4,4,1,3,0
fYcPNzXD,0,0,1,0,1,2,1,0,1,0
2tlSMiTG,1,1,1,0,0,0,0,0,0,0
4XsMwDA0,0,2,1,0,0,2,5,1,1,1
vmax0juz,1,0,0,2,0,0,2,0,0,1
RV9PRRwT,1,0,1,0,0,1,0,0,0,0
gx2Qh5nj,0,0,0,0,0,1,1,0,0,0
uVyCmxVA,6,0,0,0,0,2,10,2,0,0
9Rmp9ahE,0,7,0,0,0,0,5,3,0,0
EifhjgmP,0,0,1,0,0,1,2,0,0,0
cyYLPhZD,0,0,1,0,0,0,2,3,1,2
xrzhLXur,1,5,0,0,0,1,1,0,0,0
601ZlCMQ,0,0,0,0,0,2,1,0,1,1
UX1acPU2,1,0,1,1,0,1,0,0,0,0
LfafOyZf,0,1,2,0,0,2,3,0,1,1
P87bJC0S,4,2,0,0,1,0,0,0,0,0
WNqnKoXD,0,0,0,0,0,0,0,0,0,0
7ooml5ic,1,1,1,0,0,0,1,0,0,0
rM2tPVK5,0,0,0,0,0,0,0,0,0,0
d8dpth1s,2,0,1,0,0,1,1,0,1,0
3bppic65,0,0,0,0,1,1,1,0,3,0
XKvipOkz,2,0,2,0,0,1,0,0,1,0
eNYgaj4h,5,1,0,0,0,5,2,0,0,0
42QEuziR,1,3,1,0,1,2,1,2,0,0
yRct5V59,1,0,0,0,0,2,1,0,1,0
jsgAtV6K,1,0,0,1,0,0,0,0,0,0
Trml93zI,8,1,0,0,0,3,1,0,0,0
0DkahDmp,2,3,0,0,0,0,1,1,0,0
ZHckBvho,0,0,1,0,0,1,1,0,1,0
sbbaDzrM,0,0,0,1,0,0,0,0,0,0
WOMZdiVk,0,0,0,0,0,0,0,0,0,0
ZOUltXdR,0,0,0,0,0,0,0,0,0,0
AlK8UP43,0,0,0,0,0,0,0,0,0,0
Uk5YbrTM,1,0,0,1,0,0,0,0,0,0
UrRBZLsz,2,1,0,0,0,2,1,0,1,0
yLN1sDvM,7,1,0,2,0,0,0,0,1,0
CXwNkIua,0,0,0,0,0,0,1,0,0,0
QwRdU6yj,0,0,0,0,0,0,0,0,0,0
Z0OeqVgB,0,0,0,0,0,0,0,0,0,0
e9rIjaPM,0,2,0,3,0,0,1,0,1,0
C2oYDtox,1,0,1,0,0,1,0,2,0,0
LlHkzOPH,0,0,0,0,0,3,0,0,0,0
dk5MeRIj,0,7,0,2,0,1,1,0,0,0
P3liwuZd,0,0,0,0,0,0,0,0,1,0
tUx60Ul4,1,4,0,1,0,1,1,3,0,1
Xajmz0NO,0,0,0,0,0,0,0,1,1,0
UW5FSPXg,0,1,0,1,0,0,6,0,1,0
njakDx3C,1,0,2,2,0,0,0,0,3,1
j1Ru1Y8a,0,10,0,0,0,0,7,2,0,0
xa7c5B9B,0,0,0,0,0,1,0,0,0,0
