game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
GbXP2AAo,0,1,0,0,0,0,0,0,0,0
fAzuR3bC,0,0,0,0,0,0,1,0,0,0
HT4pDyLy,0,1,0,0,0,0,0,0,0,0
1wcRbbYS,0,0,0,0,0,1,0,0,0,0
xHq9m28w,0,0,0,0,0,1,0,0,0,0
Mk09maAp,1,0,0,0,0,0,0,0,0,0
tQWzf4Vl,0,0,0,0,0,0,0,0,0,0
rU9LSjEV,1,0,0,0,0,0,0,0,0,0
yLTEs3PR,0,0,0,0,0,0,1,0,0,0
wM43xNTp,1,0,0,0,0,0,0,0,0,0
1wtOeiSt,1,0,0,0,0,0,0,0,0,0
eMuN4jPj,0,0,0,0,0,1,0,0,0,0
lxTIzMYc,0,0,0,0,0,0,0,0,0,0
D2XdeRLb,0,0,0,0,0,0,0,0,0,0
8O5th1Jj,0,0,0,0,0,0,0,0,0,0
H9t5R70E,0,0,0,0,0,0,0,0,0,0
JZtwlDBJ,0,0,0,0,0,0,0,0,0,0
mOW0d50m,0,0,0,0,0,0,0,0,0,0
1B27xzQK,0,0,0,0,0,0,0,0,0,0
NBkUo7yz,0,0,0,0,0,1,0,0,0,0
15mSxIVp,1,0,0,0,0,0,0,0,0,0
lJCScHov,0,0,0,0,0,0,0,0,0,0
DFb8xrPU,0,0,0,0,0,0,0,0,0,0
v58vG2nS,0,0,0,0,0,0,0,0,0,0
SofmedXo,0,0,0,0,0,0,0,0,0,0
nBALUHIE,0,0,0,0,0,1,0,0,0,0
td5ZDYec,0,0,0,0,0,0,0,0,0,0
xFllA0Ga,0,0,0,0,0,0,0,0,0,0
xLcsxZi5,0,0,0,0,0,1,0,0,0,0
dZATYWep,1,0,0,0,0,0,0,0,0,0
xss0cZdm,0,0,0,0,0,0,0,0,0,0
GscPFlWd,0,0,0,0,0,0,0,0,0,0
yzBbrcHx,0,0,0,0,0,0,0,0,0,0
E9Y8suaM,0,0,0,0,0,0,0,0,0,0
S9XtIatQ,0,0,0,0,0,0,1,0,0,0
oU42kJtZ,0,0,0,0,0,1,0,0,0,0
7K5GjXog,0,0,0,0,0,0,0,0,0,0
3XdbrhFF,0,0,0,0,0,0,1,0,0,0
4fmj8VnA,0,1,0,0,0,0,0,0,0,0
wD91lbJt,1,0,0,0,0,0,0,0,0,0
uep35VyG,0,0,0,0,0,0,0,0,0,0
DSwHPute,0,0,0,0,0,0,0,0,0,0
XWUhMgbz,0,0,0,0,0,0,0,0,0,0
VKWyuFBa,0,0,0,0,1,0,0,0,0,0
KH5J05Qt,0,0,0,0,0,0,0,0,0,0
Ut6wVGoK,0,0,0,0,0,0,0,0,0,0
KMH1a9EQ,0,0,0,0,0,0,0,0,0,0
7cqUNzKU,0,0,0,0,0,0,0,0,0,0
B8eJ2NP2,0,0,0,0,0,0,0,0,0,0
H9O08vFD,0,0,0,0,0,0,0,0,0,0
ugNLSu61,0,0,0,0,0,0,0,0,0,0
ceSBkG8w,1,0,0,0,0,0,0,0,0,0
SfqlFNTv,0,0,0,0,0,0,0,0,0,0
em3wA2RI,1,0,0,0,0,0,0,0,0,0
83SVGDlT,0,0,0,0,0,0,1,0,0,0
fYcPNzXD,0,0,0,0,0,0,0,0,0,0
2tlSMiTG,0,0,0,1,0,0,0,0,0,0
4XsMwDA0,0,0,0,0,0,0,1,0,0,0
vmax0juz,0,0,0,0,0,0,0,0,0,0
RV9PRRwT,0,0,0,0,0,1,0,0,0,0
gx2Qh5nj,0,0,0,0,0,1,0,0,0,0
uVyCmxVA,0,0,0,0,0,0,0,0,0,0
9Rmp9ahE,0,0,0,0,0,0,0,0,0,0
EifhjgmP,0,0,0,0,0,0,0,0,0,0
cyYLPhZD,0,0,0,0,0,0,0,0,0,0
xrzhLXur,0,1,0,0,0,0,0,0,0,0
601ZlCMQ,0,0,0,0,0,0,1,0,0,0
UX1acPU2,0,0,0,0,0,0,0,0,0,0
LfafOyZf,0,0,0,0,0,0,0,0,0,0
P87bJC0S,0,0,0,0,0,0,0,0,0,0
WNqnKoXD,0,0,0,0,0,0,0,0,0,0
7ooml5ic,0,0,0,0,0,0,0,0,0,0
rM2tPVK5,0,0,0,0,0,0,0,0,0,0
d8dpth1s,0,0,0,0,0,0,1,0,0,0
3bppic65,0,0,0,0,0,0,0,0,0,0
XKvipOkz,0,0,0,0,0,0,0,0,0,0
eNYgaj4h,0,0,1,0,0,0,0,0,0,0
42QEuziR,0,0,0,0,0,0,0,0,0,0
yRct5V59,0,0,0,0,0,0,0,0,0,0
jsgAtV6K,1,0,0,0,0,0,0,0,0,0
Trml93zI,0,0,0,0,0,0,0,0,0,0
0DkahDmp,0,0,0,0,0,0,1,0,0,0
ZHckBvho,0,0,0,0,0,0,1,0,0,0
sbbaDzrM,0,0,0,0,0,0,0,0,0,0
WOMZdiVk,0,0,0,0,0,0,0,0,0,0
ZOUltXdR,0,0,0,0,0,0,0,0,0,0
AlK8UP43,0,0,0,0,0,0,0,0,0,0
Uk5YbrTM,0,0,0,0,0,0,0,0,0,0
UrRBZLsz,0,0,0,0,0,1,0,0,0,0
yLN1sDvM,1,0,0,0,0,0,0,0,0,0
CXwNkIua,0,0,0,0,0,0,0,0,0,0
QwRdU6yj,1,0,0,0,0,0,0,0,0,0
Z0OeqVgB,0,0,0,0,0,1,0,0,0,0
e9rIjaPM,0,1,0,0,0,0,0,0,0,0
C2oYDtox,0,0,0,0,0,0,0,0,0,0
LlHkzOPH,0,0,0,0,0,1,0,0,0,0
dk5MeRIj,0,0,0,0,0,0,0,0,0,0
P3liwuZd,0,0,0,0,0,0,0,0,0,0
tUx60Ul4,0,0,0,0,0,0,0,0,0,0
Xajmz0NO,0,0,0,0,0,0,0,0,0,0
UW5FSPXg,0,0,0,0,0,0,0,0,0,0
njakDx3C,0,0,0,0,0,0,0,0,0,0
j1Ru1Y8a,0,0,0,0,0,0,0,0,0,0
xa7c5B9B,0,0,0,0,0,1,0,0,0,0
mIDh4pvX,0,0,0,0,0,0,0,0,0,0
aDmZmDZn,1,0,0,0,0,0,0,0,0,0
aYWPnHmV,0,0,0,0,0,0,1,0,0,0
0zaaFn4J,0,0,0,0,0,1,0,0,0,0
6HSlsRqS,0,0,0,0,0,1,0,0,0,0
Hf7XJEI5,0,0,0,0,0,0,0,0,0,0
4YDvmUIn,0,0,0,0,0,0,0,0,0,0
JIsXn8O2,0,0,0,0,0,0,1,0,0,0
CxLbH8IL,0,0,0,0,0,0,0,0,0,0
50uFex90,0,0,0,0,0,0,0,0,0,0
