game_id,king_w,queen_w,rooks_w,bishops_w,knights_w,pawns_w,king_b,queen_b,rooks_b,bishops_b,knights_b,pawns_b
vZx5OR4i,17,8,64,12,15,15,7,3,68,14,27,12
XQu7lETs,2,18,17,20,6,9,11,12,0,10,9,10
eYw3B10r,7,28,16,9,6,9,11,5,15,12,24,10
lMpXLtD6,2,1,22,16,15,13,5,8,18,8,15,12
wAdcKied,2,0,17,10,9,12,7,4,17,11,15,7
rSYmPSci,2,38,37,12,24,13,21,0,28,5,15,11
W5EtbHUz,0,10,0,6,6,4,1,0,0,5,3,5
0eeuk7yw,4,1,13,10,18,16,3,6,17,22,9,11
7XghDm51,2,9,14,16,12,8,2,5,14,14,9,10
IhwzRsta,4,0,2,14,18,12,2,23,8,8,9,13
w65ELLp5,3,15,15,15,15,8,4,19,11,6,24,6
MVIk8uWZ,2,10,27,11,21,8,5,16,10,4,18,12
3JlkEKoU,3,6,10,7,9,7,2,13,6,5,21,4
PQI1hMSs,8,1,5,12,33,11,2,6,33,14,21,6
GbXP2AAo,4,12,19,8,18,6,3,4,9,9,9,6
fAzuR3bC,39,0,75,7,18,21,26,24,72,7,21,24
HT4pDyLy,3,0,17,21,30,17,14,7,26,14,9,14
1wcRbbYS,10,8,0,14,12,8,2,18,7,9,24,5
xHq9m28w,7,0,15,11,12,10,3,8,27,12,12,7
Mk09maAp,2,11,2,8,12,16,6,5,3,6,24,10
tQWzf4Vl,7,28,5,9,18,10,12,17,12,10,18,12
rU9LSjEV,3,12,11,22,15,11,5,20,7,7,18,12
yLTEs3PR,3,5,8,9,9,10,2,14,19,17,15,4
wM43xNTp,4,4,5,9,12,4,4,0,2,1,9,9
1wtOeiSt,4,8,5,5,15,7,3,7,9,7,12,4
eMuN4jPj,6,9,40,12,24,14,6,28,10,8,33,22
lxTIzMYc,2,15,2,11,21,10,4,5,2,3,18,12
D2XdeRLb,5,1,5,3,21,7,2,6,4,11,12,4
8O5th1Jj,2,16,15,8,15,11,2,5,11,7,9,14
H9t5R70E,5,5,14,6,24,10,2,6,18,14,9,10
JZtwlDBJ,5,8,20,19,24,8,10,3,14,8,12,18
mOW0d50m,10,5,59,17,15,21,15,6,14,26,21,23
1B27xzQK,2,4,7,8,18,19,2,18,0,3,21,10
NBkUo7yz,4,1,4,13,15,8,2,9,6,3,18,11
15mSxIVp,2,7,13,7,18,17,2,8,9,17,21,13
lJCScHov,6,10,7,8,18,12,2,10,16,10,21,11
DFb8xrPU,13,19,4,11,18,19,13,21,13,10,24,17
v58vG2nS,10,10,16,15,18,14,7,0,16,10,21,11
SofmedXo,2,7,24,7,33,14,8,5,14,10,12,11
nBALUHIE,2,8,0,3,9,4,2,10,3,11,3,3
td5ZDYec,2,11,11,14,9,11,3,7,14,18,15,5
xFllA0Ga,13,48,21,6,24,19,14,63,14,9,18,8
xLcsxZi5,4,11,7,4,27,9,3,21,5,10,15,9
dZATYWep,1,11,0,37,9,6,6,7,3,3,9,7
xss0cZdm,0,16,0,6,15,6,2,6,2,9,21,4
GscPFlWd,3,18,17,11,12,14,3,16,32,14,33,7
yzBbrcHx,0,4,0,3,12,11,2,0,2,5,9,9
E9Y8suaM,11,7,10,10,21,10,4,2,27,9,36,4
S9XtIatQ,3,15,3,9,12,14,4,8,17,7,18,13
oU42kJtZ,5,2,3,11,15,9,0,11,0,12,12,7
7K5GjXog,0,0,0,5,9,4,0,4,0,0,15,2
3XdbrhFF,16,9,13,15,15,6,2,31,11,14,6,6
4fmj8VnA,3,12,27,15,15,13,13,0,16,7,15,13
wD91lbJt,2,5,2,4,24,7,3,0,2,3,15,14
uep35VyG,5,19,13,10,21,10,4,5,24,13,9,14
DSwHPute,8,9,7,9,15,11,4,13,19,2,21,10
XWUhMgbz,4,9,7,12,27,4,3,9,12,4,12,11
VKWyuFBa,4,10,2,5,21,8,6,18,0,0,12,10
KH5J05Qt,2,1,17,17,24,14,2,13,8,10,15,16
Ut6wVGoK,2,1,2,5,9,7,0,0,0,6,18,4
KMH1a9EQ,1,3,0,3,15,2,0,6,0,6,9,2
7cqUNzKU,11,8,44,11,15,14,7,4,39,9,24,23
B8eJ2NP2,2,0,10,17,27,19,7,7,18,8,24,11
H9O08vFD,3,7,20,11,18,13,2,17,6,7,24,15
ugNLSu61,2,10,9,5,9,10,2,4,15,11,15,7
ceSBkG8w,14,18,14,7,24,19,9,33,10,14,15,15
SfqlFNTv,4,61,17,12,9,9,15,21,8,12,18,16
em3wA2RI,3,11,19,13,36,16,16,12,17,10,12,20
83SVGDlT,16,7,25,14,24,16,5,15,27,14,27,17
fYcPNzXD,2,7,9,18,12,21,3,15,8,12,24,10
2tlSMiTG,2,6,9,10,12,10,2,1,3,6,6,14
4XsMwDA0,11,1,20,14,9,4,5,6,26,5,18,8
vmax0juz,5,11,8,9,39,17,5,7,17,18,12,19
RV9PRRwT,3,7,9,12,15,10,3,18,7,12,12,9
gx2Qh5nj,3,10,21,8,9,13,2,14,13,6,18,9
uVyCmxVA,13,33,21,4,18,24,14,26,64,13,24,11
9Rmp9ahE,13,4,53,25,6,18,21,4,27,24,6,17
EifhjgmP,8,3,34,13,12,9,3,4,35,9,12,14
cyYLPhZD,15,2,20,10,12,11,3,7,19,41,12,12
xrzhLXur,7,11,27,8,24,12,4,13,25,23,15,17
601ZlCMQ,6,12,13,9,9,9,2,17,27,10,15,7
UX1acPU2,7,4,20,10,27,10,4,22,3,5,12,14
LfafOyZf,5,1,19,15,15,21,6,6,30,8,21,12
P87bJC0S,2,12,7,3,9,17,10,5,6,8,12,11
WNqnKoXD,2,2,4,8,15,7,2,6,3,2,9,9
7ooml5ic,3,7,23,16,12,10,4,0,21,7,27,10
rM2tPVK5,2,3,2,5,9,7,2,0,2,6,9,10
d8dpth1s,3,17,11,17,9,7,4,7,14,14,15,12
3bppic65,9,5,9,9,15,20,3,4,18,7,48,10
XKvipOkz,3,18,6,8,15,10,3,7,12,6,15,8
eNYgaj4h,8,33,13,14,21,8,7,31,16,5,9,11
42QEuziR,6,8,67,9,12,13,12,14,13,29,24,9
yRct5V59,3,10,0,9,9,10,2,18,4,7,18,11
jsgAtV6K,0,7,0,3,9,2,1,5,0,0,3,3
Trml93zI,4,33,13,8,9,11,11,23,16,10,15,7
0DkahDmp,7,5,27,8,15,18,5,2,28,15,18,9
ZHckBvho,11,1,29,14,12,13,3,6,18,22,36,10
UrRBZLsz,5,41,14,20,6,7,4,23,18,12,24,11
yLN1sDvM,4,26,15,11,18,6,9,3,4,1,12,14
CXwNkIua,6,6,9,8,15,15,3,15,12,6,15,8
QwRdU6yj,0,6,0,5,9,6,2,0,2,5,6,4
Z0OeqVgB,2,3,10,14,15,8,2,6,8,8,9,12
e9rIjaPM,5,5,29,11,24,10,11,3,12,7,18,12
C2oYDtox,6,12,11,10,15,9,4,7,8,12,18,6
LlHkzOPH,5,5,6,13,21,11,3,14,8,6,21,10
dk5MeRIj,3,0,44,8,27,9,10,7,28,4,21,13
P3liwuZd,3,11,8,4,12,9,2,10,6,8,27,5
tUx60Ul4,11,7,33,11,15,17,7,9,24,17,27,15
Xajmz0NO,6,1,8,5,9,7,2,7,8,12,12,4
UW5FSPXg,12,0,22,12,12,13,6,7,34,9,33,14
njakDx3C,6,10,4,15,12,11,4,2,3,7,24,11
j1Ru1Y8a,20,5,73,10,12,16,15,4,44,33,27,14
xa7c5B9B,1,5,0,5,6,9,2,6,4,5,12,5
mIDh4pvX,4,14,3,10,12,11,2,12,8,15,12,11
aDmZmDZn,3,8,9,3,18,8,3,13,8,6,15,8
aYWPnHmV,4,8,10,8,12,6,2,7,14,11,12,9
0zaaFn4J,2,13,7,8,15,3,2,7,11,6,15,8
6HSlsRqS,10,5,43,9,9,20,4,29,15,9,27,16
Hf7XJEI5,2,0,2,6,12,3,0,6,0,10,3,4
4YDvmUIn,3,5,2,12,15,10,2,2,2,10,9,12
JIsXn8O2,4,1,0,15,24,6,2,13,11,2,15,9
